0,6.5018
1,3.5284
2,3.5256
3,3.0737
4,2.3282
5,2.8458
6,2.5653
7,2.5781
8,2.5897
9,1.9675
10,2.4988
11,2.1576
12,3.1210
13,2.7237
14,2.1630
15,2.8163
16,2.3785
17,2.4381
18,2.2928
19,1.9469
20,2.3090
21,2.0155
22,1.8390
23,2.5584
24,2.3643
25,2.1691
26,2.0778
27,2.0186
28,1.9708
29,1.8994
30,1.9377
31,1.6870
32,2.2282
33,2.0422
34,1.4208
35,1.3001
36,1.2019
37,1.0272
38,0.9673
39,0.9701
40,1.4898
41,1.1182
42,1.1681
43,1.3046
44,1.0579
45,1.3673
46,1.3047
47,0.9794
48,1.1428
49,1.3781
50,1.3227
51,1.2587
52,1.2474
53,1.2009
54,1.2441
55,1.1491
56,1.1882
57,1.5163
58,1.1997
59,1.0801
60,1.1552
61,1.3389
62,1.4864
63,1.4425
64,1.3767
65,1.4726
66,1.2153
67,1.3566
68,0.6667
69,0.5589
70,0.6183
71,0.5485
72,0.6213
73,0.4787
74,0.6380
75,0.5784
76,0.6145
77,0.6613
78,0.7628
79,0.5641
80,0.4970
81,0.4392
82,0.6576
83,0.6603
84,0.6462
85,0.4966
86,0.6089
87,0.6122
88,0.5267
89,0.6398
90,0.4555
91,0.6700
92,0.7632
93,0.7109
94,0.6196
95,0.6164
96,0.7580
97,0.6253
98,0.5937
99,0.6378
100,0.4805
101,0.6999
102,0.4151
103,0.2906
104,0.2118
105,0.2503
106,0.3375
107,0.2471
108,0.3303
109,0.2659
110,0.2216
111,0.2788
112,0.2430
113,0.3702
114,0.3000
115,0.2372
116,0.3331
117,0.3469
118,0.2919
119,0.2485
120,0.3746
121,0.3438
122,0.2744
123,0.3192
124,0.3417
125,0.2300
126,0.4234
127,0.4134
128,0.3568
129,0.3877
130,0.3785
131,0.3801
132,0.3263
133,0.2292
134,0.3434
135,0.3752
136,0.2911
137,0.1803
138,0.1307
139,0.1359
140,0.1501
141,0.2021
142,0.1211
143,0.2436
144,0.1566
145,0.1827
146,0.1501
147,0.1709
148,0.1733
149,0.2771
150,0.2458
151,0.1659
152,0.2292
153,0.1847
154,0.1693
155,0.2229
156,0.1941
157,0.1454
158,0.1998
159,0.1864
160,0.2041
161,0.2461
162,0.2749
163,0.2932
164,0.1820
165,0.2461
166,0.2868
167,0.2115
168,0.2217
169,0.2486
170,0.1790
171,0.0983
172,0.1191
173,0.0744
174,0.1728
175,0.1487
176,0.1300
177,0.1065
178,0.1372
179,0.0936
180,0.1080
181,0.1321
182,0.1622
183,0.1753
184,0.1298
185,0.1443
186,0.1739
187,0.2118
188,0.2444
189,0.2079
190,0.1886
191,0.1404
192,0.1870
193,0.1389
194,0.2173
195,0.1248
196,0.1437
197,0.1987
198,0.2036
199,0.2470
200,0.1330
201,0.1636
202,0.1741
203,0.1681
204,0.1256
205,0.0906
206,0.0768
207,0.0552
208,0.0877
209,0.0672
210,0.0996
211,0.0969
212,0.1427
213,0.1218
214,0.1715
215,0.1091
216,0.0602
217,0.1654
218,0.0984
219,0.1072
220,0.0883
221,0.1715
222,0.1159
223,0.0833
224,0.1704
225,0.1182
226,0.2047
227,0.0957
228,0.1268
229,0.0984
230,0.1227
231,0.1100
232,0.1317
233,0.1705
234,0.1370
235,0.1370
236,0.1662
237,0.0668
238,0.1197
239,0.0476
240,0.0918
241,0.0730
242,0.0781
243,0.1148
244,0.0687
245,0.1201
246,0.0471
247,0.0900
248,0.0831
249,0.0498
250,0.1121
251,0.0832
252,0.1373
253,0.0677
254,0.0949
255,0.0737
256,0.0742
257,0.0989
258,0.0579
259,0.0863
260,0.1310
261,0.1205
262,0.1070
263,0.1275
264,0.1060
265,0.1081
266,0.0967
267,0.1138
268,0.1486
269,0.1492
270,0.1438
271,0.1339
272,0.0827
273,0.0652
274,0.0586
275,0.1024
276,0.0281
277,0.0886
278,0.0632
279,0.0365
280,0.0853
281,0.0661
282,0.0986
283,0.1075
284,0.0540
285,0.0812
286,0.1174
287,0.0746
288,0.0811
289,0.0913
290,0.1218
291,0.0644
292,0.0493
293,0.0477
294,0.1596
295,0.0751
296,0.0767
297,0.1320
298,0.1335
299,0.1424
300,0.0980
301,0.0915
302,0.1252
303,0.0863
304,0.0704
305,0.1136
306,0.1192
307,0.0450
308,0.0756
309,0.0581
310,0.0371
311,0.0774
312,0.0665
313,0.0766
314,0.0555
315,0.0815
316,0.0315
317,0.0708
318,0.0762
319,0.0472
320,0.0502
321,0.0647
322,0.1052
323,0.0782
324,0.0813
325,0.0696
326,0.0699
327,0.1155
328,0.0820
329,0.1095
330,0.0658
331,0.1039
332,0.1590
333,0.0925
334,0.1127
335,0.0894
336,0.0929
337,0.0867
338,0.0976
339,0.0732
340,0.0768
341,0.0588
342,0.0338
343,0.0588
344,0.0416
345,0.0482
346,0.0522
347,0.0796
348,0.0382
349,0.0485
350,0.0710
351,0.0519
352,0.0649
353,0.0977
354,0.1952
355,0.0486
356,0.0896
357,0.1021
358,0.0652
359,0.0801
360,0.0644
361,0.0787
362,0.0792
363,0.0975
364,0.0757
365,0.0706
366,0.0700
367,0.0863
368,0.0829
369,0.0894
370,0.0974
371,0.0596
372,0.0917
373,0.1161
374,0.0717
375,0.0995
376,0.0482
377,0.0447
378,0.0699
379,0.0249
380,0.0766
381,0.0292
382,0.0489
383,0.0523
384,0.0780
385,0.1009
386,0.0768
387,0.0894
388,0.0783
389,0.0761
390,0.0596
391,0.0451
392,0.0608
393,0.0503
394,0.0594
395,0.0700
396,0.0684
397,0.0981
398,0.0737
399,0.0469
400,0.0878
401,0.0581
402,0.1260
403,0.1043
404,0.0716
405,0.0770
406,0.0977
407,0.0711
408,0.0924
409,0.1090
410,0.0228
411,0.0263
412,0.0689
413,0.0602
414,0.0534
415,0.0487
416,0.0625
417,0.0709
418,0.0395
419,0.0764
420,0.0413
421,0.0382
422,0.0913
423,0.0406
424,0.0435
425,0.1216
426,0.0637
427,0.1186
428,0.0421
429,0.0388
430,0.0945
431,0.0390
432,0.0600
433,0.0894
434,0.0570
435,0.0933
436,0.0692
437,0.0825
438,0.0876
439,0.0810
440,0.1124
441,0.0534
442,0.0486
443,0.0609
444,0.0700
445,0.0263
446,0.0964
447,0.0389
448,0.0662
449,0.0410
450,0.0392
451,0.0648
452,0.0611
453,0.0450
454,0.0490
455,0.0372
456,0.0828
457,0.0812
458,0.0497
459,0.0559
460,0.0598
461,0.0748
462,0.0483
463,0.0380
464,0.0428
465,0.0389
466,0.0990
467,0.0521
468,0.0770
469,0.0554
470,0.0498
471,0.0902
472,0.1165
473,0.1141
474,0.0814
475,0.0764
476,0.0722
477,0.0597
478,0.0594
479,0.0466
480,0.0566
481,0.0708
482,0.0166
483,0.0435
484,0.0489
485,0.0819
486,0.1045
487,0.0514
488,0.0479
489,0.0544
490,0.0497
491,0.0762
492,0.0751
493,0.0474
494,0.0753
495,0.0710
496,0.1260
497,0.0912
498,0.0614
499,0.0663
